,Parameter,Date,Time,County,Station,Measurement,Unit
310,Ozone,2019-05-22,22:00,Kay,9010,,Parts per million
311,Ozone,2019-05-22,23:00,Kay,9010,,Parts per million
312,Ozone,2019-05-23,00:00,Kay,9010,,Parts per million
313,Ozone,2019-05-23,01:00,Kay,9010,,Parts per million
314,Ozone,2019-05-23,02:00,Kay,9010,,Parts per million
315,Ozone,2019-05-23,03:00,Kay,9010,,Parts per million
316,Ozone,2019-05-23,04:00,Kay,9010,,Parts per million
317,Ozone,2019-05-23,05:00,Kay,9010,,Parts per million
318,Ozone,2019-05-23,06:00,Kay,9010,,Parts per million
319,Ozone,2019-05-23,07:00,Kay,9010,,Parts per million
320,Ozone,2019-05-23,08:00,Kay,9010,,Parts per million
321,Ozone,2019-05-23,09:00,Kay,9010,,Parts per million
322,Ozone,2019-05-23,10:00,Kay,9010,,Parts per million
323,Ozone,2019-05-23,11:00,Kay,9010,,Parts per million
324,Ozone,2019-05-23,12:00,Kay,9010,,Parts per million
325,Ozone,2019-05-23,13:00,Kay,9010,,Parts per million
326,Ozone,2019-05-23,14:00,Kay,9010,,Parts per million
327,Ozone,2019-05-23,15:00,Kay,9010,,Parts per million
328,Ozone,2019-05-23,16:00,Kay,9010,,Parts per million
329,Ozone,2019-05-23,17:00,Kay,9010,,Parts per million
330,Ozone,2019-05-23,18:00,Kay,9010,,Parts per million
331,Ozone,2019-05-23,19:00,Kay,9010,,Parts per million
332,Ozone,2019-05-23,20:00,Kay,9010,,Parts per million
333,Ozone,2019-05-23,21:00,Kay,9010,,Parts per million
334,Ozone,2019-05-23,22:00,Kay,9010,,Parts per million
335,Ozone,2019-05-23,23:00,Kay,9010,,Parts per million
336,Ozone,2019-05-24,00:00,Kay,9010,,Parts per million
337,Ozone,2019-05-24,01:00,Kay,9010,,Parts per million
338,Ozone,2019-05-24,02:00,Kay,9010,,Parts per million
339,Ozone,2019-05-24,03:00,Kay,9010,,Parts per million
340,Ozone,2019-05-24,04:00,Kay,9010,,Parts per million
341,Ozone,2019-05-24,05:00,Kay,9010,,Parts per million
342,Ozone,2019-05-24,06:00,Kay,9010,,Parts per million
343,Ozone,2019-05-24,07:00,Kay,9010,,Parts per million
344,Ozone,2019-05-24,08:00,Kay,9010,,Parts per million
345,Ozone,2019-05-24,09:00,Kay,9010,,Parts per million
346,Ozone,2019-05-24,10:00,Kay,9010,,Parts per million
347,Ozone,2019-05-24,11:00,Kay,9010,,Parts per million
348,Ozone,2019-05-24,12:00,Kay,9010,,Parts per million
349,Ozone,2019-05-24,13:00,Kay,9010,,Parts per million
350,Ozone,2019-05-24,14:00,Kay,9010,,Parts per million
351,Ozone,2019-05-24,15:00,Kay,9010,,Parts per million
352,Ozone,2019-05-24,16:00,Kay,9010,,Parts per million
353,Ozone,2019-05-24,17:00,Kay,9010,,Parts per million
354,Ozone,2019-05-24,18:00,Kay,9010,,Parts per million
355,Ozone,2019-05-24,19:00,Kay,9010,,Parts per million
356,Ozone,2019-05-24,20:00,Kay,9010,,Parts per million
357,Ozone,2019-05-24,21:00,Kay,9010,,Parts per million
358,Ozone,2019-05-24,22:00,Kay,9010,,Parts per million
359,Ozone,2019-05-24,23:00,Kay,9010,,Parts per million
360,Sulfur dioxide,2019-05-10,00:00,Garfield,0555,0.0,Parts per billion
361,Sulfur dioxide,2019-05-10,01:00,Garfield,0555,0.0,Parts per billion
362,Sulfur dioxide,2019-05-10,02:00,Garfield,0555,0.0,Parts per billion
363,Sulfur dioxide,2019-05-10,03:00,Garfield,0555,0.0,Parts per billion
364,Sulfur dioxide,2019-05-10,04:00,Garfield,0555,0.0,Parts per billion
365,Sulfur dioxide,2019-05-10,05:00,Garfield,0555,0.0,Parts per billion
366,Sulfur dioxide,2019-05-10,06:00,Garfield,0555,0.0,Parts per billion
367,Sulfur dioxide,2019-05-10,07:00,Garfield,0555,0.0,Parts per billion
368,Sulfur dioxide,2019-05-10,08:00,Garfield,0555,,Parts per billion
369,Sulfur dioxide,2019-05-10,09:00,Garfield,0555,8.0,Parts per billion
370,Sulfur dioxide,2019-05-10,10:00,Garfield,0555,9.0,Parts per billion
371,Sulfur dioxide,2019-05-10,11:00,Garfield,0555,20.0,Parts per billion
